interaction_id,customer_id,agent_id,interaction_datetime,interaction_duration_seconds,call_direction,call_channel,call_status,customer_satisfaction_score,speech_sentiment_score,speech_transcript,topics_detected,issue_resolved,follow_up_required,follow_up_due_date,language,customer_feedback_text,agent_notes
INT30042,CUST40041,AGT5042,2024-03-06T12:55:38,315,outbound,video,completed,4.3,0.74,I appreciate the explanation of investment services.,"investment_inquiry,customer_outreach",true,false,,fr,Merci pour les détails.,Explained new investment services via video call.
INT30043,CUST40042,AGT5043,2024-03-07T10:13:23,53,inbound,phone,dropped,,,,,false,false,,en,,Call disconnected during account verification.
INT30044,CUST40043,AGT5044,2024-03-07T14:23:41,341,inbound,chat,completed,4.1,0.67,How can I change my email address on file?,account_update,true,false,,en,Update was quick.,Assisted with email address update.
INT30045,CUST40044,AGT5045,2024-03-08T15:44:18,107,inbound,phone,completed,2.7,0.19,I forgot my debit card pin.,"card_issue,atm",true,false,,en,Problem solved.,Guided customer through pin reset.
INT30046,CUST40045,AGT5046,2024-03-09T10:08:51,295,outbound,phone,transferred,2.3,-0.41,I need to speak with a supervisor regarding my unresolved case.,"escalation,follow_up",false,true,2024-03-12,en,,Customer asked for supervisor; transferred for escalation.
INT30047,CUST40046,AGT5047,2024-03-09T13:30:11,38,inbound,phone,dropped,,,,,false,false,,en,,Call dropped immediately after connection.
INT30048,CUST40047,AGT5048,2024-03-10T09:54:23,422,inbound,chat,completed,3.9,0.52,Is there a way to get a new checkbook by mail?,checkbook_request,true,false,,en,Easy to request.,Explained checkbook ordering process to customer.
INT30049,CUST40048,AGT5049,2024-03-10T13:11:48,158,inbound,phone,completed,3.7,0.43,Can you clarify the charges on my statement?,"charges_inquiry,statement_request",true,false,,en,Clarified all charges.,Reviewed charges with customer and explained each item.
INT30050,CUST40001,AGT5050,2024-03-11T10:38:59,89,inbound,phone,completed,2.8,0.22,What is the minimum payment for my credit card?,"credit_card,payment_inquiry",true,false,,en,Good information.,Explained minimum payment details for credit card.
INT40001,CUST10001,AGT2001,2024-04-08T09:11:00,245,inbound,chat,completed,4.1,0.63,"Hello, I need to check my account statement for March please.","statement_request,balance_inquiry",true,false,,en,Quick and helpful service.,Assisted customer with statement request and balance inquiry with no issues.
INT40002,CUST10002,AGT2002,2024-04-08T10:41:00,52,inbound,phone,dropped,,,,,false,false,,en,,Call dropped before connection could be established.
INT40003,CUST10003,AGT2003,2024-04-08T11:05:00,413,outbound,phone,transferred,1.7,-0.41,"Hello, I would like to discuss a recent charge. Can you help me?","dispute,escalation,account_access",false,true,2024-04-11,en,,Customer dispute regarding transaction. Escalated issue to supervisor.
INT40004,CUST10004,AGT2004,2024-04-08T11:21:00,132,inbound,phone,abandoned,,,,,false,false,,en,,Caller abandoned call while waiting for agent.
INT40005,CUST10005,AGT2005,2024-04-08T12:13:00,379,outbound,video,completed,4.8,0.94,"Good afternoon, we are calling to thank you for your loyalty. Do you have any questions?","customer_outreach,loyalty",true,false,,fr,Très satisfait du service.,Conducted scheduled loyalty outreach call. Customer responded positively.
INT40006,CUST10006,AGT2006,2024-04-08T13:23:00,219,inbound,chat,completed,3.9,0.55,"Hi, can you help me reset my password?","password_reset,online_banking",true,false,,es,Gracias por la ayuda.,Assisted client with online banking password reset. Issue resolved.
INT40007,CUST10007,AGT2007,2024-04-08T14:31:00,49,outbound,phone,abandoned,0.2,-0.89,,,false,false,,en,,Outbound call not answered by customer.
INT40008,CUST10008,AGT2008,2024-04-08T15:16:00,122,inbound,chat,completed,3.7,0.49,Can you help me update my contact information?,"profile_update,contact_information",true,false,,en,Fast support!,Walked customer through updating contact information. No further action needed.
INT40009,CUST10009,AGT2009,2024-04-08T15:37:00,223,inbound,phone,completed,4.4,0.81,"Hello, I want to check the recent transactions on my account.","transaction_history,balance_inquiry",true,false,,en,"Great service, thank you.",Provided recent transaction details to customer. All queries addressed.
INT40010,CUST10010,AGT2010,2024-04-08T16:27:00,630,outbound,video,completed,4.7,0.78,We are conducting a survey about our mobile app. Can you share your experience?,"customer_outreach,mobile_app",true,false,,en,Very helpful discussion.,Completed customer outreach via video. Positive feedback received about app.
INT40011,CUST10011,AGT2001,2024-04-08T16:44:00,42,inbound,phone,dropped,0,-1,,,false,false,,en,,Call dropped after initial greeting.
INT40012,CUST10012,AGT2011,2024-04-08T17:21:00,188,inbound,phone,completed,4.3,0.68,I need help activating a new debit card.,"card_activation,account_access",true,false,,en,Activation went smoothly.,Guided customer through debit card activation process.
INT40013,CUST10013,AGT2002,2024-04-09T08:07:00,58,inbound,phone,abandoned,,,,,false,false,,en,,Caller hung up before speaking to agent.
INT40014,CUST10014,AGT2012,2024-04-09T09:12:00,149,outbound,chat,completed,3.8,0.52,We are checking in to see if you have questions about your online services.,"customer_outreach,online_banking",true,false,,en,Nice to be contacted.,Proactive outreach on online banking. Customer had no issues.
INT40015,CUST10015,AGT2003,2024-04-09T09:38:00,77,outbound,phone,abandoned,,,,,false,false,,en,,No answer from customer on outbound call.
INT40016,CUST10016,AGT2004,2024-04-09T10:03:00,553,inbound,video,completed,4.9,0.92,I would like to learn more about your investment products.,"investment,customer_outreach",true,false,,en,Excellent information.,Provided detailed information about investment products. Very positive interaction.
INT40017,CUST10017,AGT2005,2024-04-09T10:44:00,355,outbound,phone,completed,4,0.62,Calling to remind you about your upcoming loan payment.,"customer_outreach,loan_payment",true,false,,en,Thanks for the reminder.,Loan payment reminder call. Customer appreciated the notice.
INT40018,CUST10018,AGT2006,2024-04-09T11:17:00,36,inbound,phone,dropped,,,,,false,false,,en,,Call dropped during authentication process.
INT40019,CUST10019,AGT2007,2024-04-09T12:09:00,205,inbound,chat,completed,3.6,0.48,Can you help me set up a travel notification?,"travel_notification,card_services",true,false,,es,"Gracias, fue facil.",Assisted customer with travel notification for card services.
INT40020,CUST10020,AGT2008,2024-04-09T13:25:00,121,inbound,phone,completed,4.2,0.77,I would like to increase my credit card limit.,"credit_card,limit_increase",true,false,,en,Very clear instructions.,Explained process for credit card limit increase. Customer satisfied.
INT40021,CUST10021,AGT2009,2024-04-09T14:11:00,317,outbound,video,completed,4.5,0.86,We want to discuss our new credit card offers with you.,"customer_outreach,credit_card",true,false,,fr,Merci pour les offres.,Presented new credit card offers. Customer responded positively.
INT40022,CUST10022,AGT2010,2024-04-09T15:03:00,48,inbound,phone,dropped,,,,,false,false,,en,,Call dropped before customer provided details.
INT40023,CUST10023,AGT2011,2024-04-09T16:41:00,136,inbound,chat,completed,3.5,0.53,I need to change my email address on file.,"profile_update,contact_information",true,false,,en,Easy update process.,Updated customer's email address. Issue resolved in chat.
INT40024,CUST10024,AGT2012,2024-04-09T17:17:00,241,inbound,phone,completed,4.5,0.89,Can you help me register for online banking?,"online_banking,registration",true,false,,en,The agent was very helpful.,Guided customer through online banking registration. No issues.
INT40025,CUST10025,AGT2001,2024-04-10T08:22:00,933,outbound,phone,transferred,0.6,-0.37,I have a complaint regarding account access. Please escalate.,"complaint,account_access,escalation",false,true,2024-04-13,en,Not happy with the service.,Escalated complaint to appropriate department. Follow-up scheduled.
INT40026,CUST10026,AGT2002,2024-04-10T09:11:00,53,inbound,phone,dropped,0,-0.92,,,false,false,,en,,"Dropped call, customer disconnected."
INT40027,CUST10027,AGT2003,2024-04-10T10:33:00,141,inbound,chat,completed,3.6,0.44,Can you help me reset my PIN?,"pin_reset,account_access",true,false,,en,Process was simple.,Assisted with PIN reset via chat. Issue resolved.
INT40028,CUST10028,AGT2004,2024-04-10T10:58:00,67,inbound,phone,abandoned,,,,,false,false,,en,,Abandoned call after waiting in queue.
INT40029,CUST10029,AGT2005,2024-04-10T11:28:00,386,outbound,video,completed,4.6,0.84,This is a courtesy call to offer you a special interest rate.,"customer_outreach,offer",true,false,,fr,J'apprécie votre appel.,Special offer presented. Customer interested in rate.
INT40030,CUST10030,AGT2006,2024-04-10T12:02:00,162,inbound,chat,completed,3.8,0.56,How do I update my mailing address?,"profile_update,mailing_address",true,false,,en,Very straight forward.,Guided customer through address update process in chat.
INT40031,CUST10031,AGT2007,2024-04-10T12:30:00,59,outbound,phone,abandoned,,,,,false,false,,en,,No response from customer during outbound call.
INT40032,CUST10032,AGT2008,2024-04-10T13:11:00,211,inbound,phone,completed,4.2,0.74,Can you help me with a blocked card?,"card_services,account_access",true,false,,en,Problem solved quickly.,Unblocked card for customer after verification.
INT40033,CUST10033,AGT2009,2024-04-10T13:52:00,158,inbound,chat,completed,4,0.58,I want to know my loan balance.,"loan_balance,account_access",true,false,,en,Thanks for the information.,Provided loan balance information. Customer happy.
INT40034,CUST10034,AGT2010,2024-04-10T14:47:00,329,outbound,video,completed,4.7,0.91,Reaching out to discuss our new rewards program.,"customer_outreach,rewards",true,false,,es,"Gracias, muy amable.",Explained rewards program benefits. Positive interaction.
INT40035,CUST10035,AGT2011,2024-04-10T15:13:00,89,inbound,phone,abandoned,,,,,false,false,,en,,Caller hung up before speaking to agent.
INT40036,CUST10036,AGT2012,2024-04-10T15:51:00,202,inbound,chat,completed,3.9,0.57,How do I close a savings account?,"account_closure,savings",true,false,,en,Assistance was good.,Explained savings account closure process.
INT40037,CUST10037,AGT2001,2024-04-11T09:02:00,669,outbound,phone,transferred,1.5,-0.45,I have an urgent problem with online banking access.,"escalation,online_banking,account_access",false,true,2024-04-15,en,Still waiting for solution.,"Online banking access issue, escalated to IT support."
INT40038,CUST10038,AGT2002,2024-04-11T09:51:00,43,inbound,phone,dropped,0,-1,,,false,false,,en,,Call dropped before agent could answer.
INT40039,CUST10039,AGT2003,2024-04-11T10:23:00,212,inbound,phone,completed,4.3,0.73,I want to check my mortgage status.,"mortgage_status,account_access",true,false,,en,Good and quick response.,Provided mortgage status details. Issue resolved.
INT40040,CUST10040,AGT2004,2024-04-11T11:37:00,81,inbound,phone,abandoned,,,,,false,false,,en,,Abandoned call while on hold.
INT40041,CUST10041,AGT2005,2024-04-11T12:42:00,254,inbound,chat,completed,3.7,0.47,Can you help me dispute a transaction?,"dispute,transaction",true,false,,en,Thank you for your help.,Transaction dispute resolved via chat.
INT40042,CUST10042,AGT2006,2024-04-11T13:18:00,117,inbound,phone,completed,4,0.68,I need to set up a new checking account.,"account_opening,checking_account",true,false,,en,Quick and efficient process.,Opened checking account for customer.
INT40043,CUST10043,AGT2007,2024-04-11T13:53:00,57,outbound,phone,abandoned,,,,,false,false,,en,,No answer. Call marked as abandoned.
INT40044,CUST10044,AGT2008,2024-04-11T14:27:00,88,inbound,phone,dropped,,,,,false,false,,en,,Call dropped immediately upon connection.
INT40045,CUST10045,AGT2009,2024-04-11T15:01:00,422,outbound,video,completed,4.4,0.81,We'd like to invite you to our customer event.,"customer_outreach,event",true,false,,en,Looking forward to the event.,Invited customer to upcoming event. Positive response.
INT40046,CUST10046,AGT2010,2024-04-11T15:34:00,216,inbound,chat,completed,3.9,0.54,I need help transferring funds.,"fund_transfer,account_access",true,false,,en,Transfer was fast.,Assisted with fund transfer via chat. No issues.
INT40047,CUST10047,AGT2011,2024-04-11T16:19:00,89,inbound,phone,abandoned,,,,,false,false,,en,,Caller abandoned after waiting for agent.
INT40048,CUST10048,AGT2012,2024-04-11T17:07:00,187,inbound,phone,completed,4.1,0.61,Can you help me close my credit card?,"account_closure,credit_card",true,false,,en,Everything was clear.,Credit card closed upon customer's request.
INT40049,CUST10049,AGT2001,2024-04-12T08:17:00,69,inbound,phone,dropped,,,,,false,false,,en,,Call dropped before agent joined.
INT40050,CUST10050,AGT2002,2024-04-12T09:06:00,255,inbound,chat,completed,4.2,0.66,I would like to know the exchange rate for today.,"exchange_rate,information_request",true,false,,en,Answered my question quickly.,Provided exchange rate information via chat.
